iter	Passed	Remaining
857	1022	169
858	1023	168
859	1024	166
860	1025	165
861	1026	164
862	1027	163
863	1028	161
864	1029	160
865	1030	159
866	1031	158
867	1032	157
868	1033	155
869	1034	154
870	1035	153
871	1036	152
872	1037	150
873	1038	149
874	1039	148
875	1040	147
876	1041	146
877	1043	144
878	1044	143
879	1044	142
880	1045	141
881	1047	140
882	1048	138
883	1049	137
884	1050	136
885	1051	135
886	1052	134
887	1053	132
888	1054	131
889	1056	130
890	1057	129
891	1058	128
892	1059	126
893	1060	125
894	1061	124
895	1062	123
896	1063	122
897	1064	120
898	1065	119
899	1067	118
900	1068	117
901	1069	116
902	1070	115
903	1071	113
904	1072	112
905	1073	111
906	1074	110
907	1075	109
908	1077	107
909	1078	106
910	1079	105
911	1080	104
912	1081	103
913	1083	101
914	1084	100
915	1086	99
916	1087	98
917	1088	97
918	1090	96
919	1091	94
920	1092	93
921	1093	92
922	1094	91
923	1099	90
924	1101	89
925	1103	88
926	1105	87
927	1107	85
928	1108	84
929	1112	83
930	1113	82
931	1114	81
932	1115	80
933	1116	78
934	1117	77
935	1118	76
936	1119	75
937	1120	74
938	1124	73
939	1125	71
940	1126	70
941	1127	69
942	1128	68
943	1129	66
944	1130	65
945	1131	64
946	1132	63
947	1134	62
948	1135	61
949	1136	59
950	1137	58
951	1139	57
952	1140	56
953	1141	55
954	1143	53
955	1144	52
956	1145	51
957	1147	50
958	1148	49
959	1149	47
960	1151	46
961	1152	45
962	1154	44
963	1157	43
964	1159	42
965	1160	40
966	1161	39
967	1163	38
968	1164	37
969	1165	36
970	1167	34
971	1168	33
972	1169	32
973	1171	31
974	1172	30
975	1174	28
976	1175	27
977	1176	26
978	1177	25
979	1178	24
980	1180	22
981	1182	21
982	1183	20
983	1184	19
984	1185	18
985	1186	16
986	1187	15
987	1188	14
988	1189	13
989	1190	12
990	1193	10
991	1194	9
992	1195	8
993	1197	7
994	1199	6
995	1201	4
996	1202	3
997	1203	2
998	1204	1
999	1206	0
